"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Audi | BMW | Chevrolet | Ford | Honda | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD36FC445"
"ColumnCount:",18
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"02/1984",7416,18,18,1562,1292,234,244,7362,18,18,1562,1292,234,244,,,
"03/1984",8610,18,22,1772,1510,300,332,8544,18,22,1772,1510,300,332,,,
"04/1984",8470,10,22,1672,1456,308,334,8398,10,22,1672,1456,308,332,,,
"05/1984",9878,14,30,1852,1790,500,318,9784,14,30,1850,1790,500,318,,,
"06/1984",10776,16,28,2012,1818,558,358,10706,16,28,2012,1818,558,358,,,
"07/1984",10972,18,28,2086,1874,568,412,10892,18,28,2086,1874,568,412,,,
"08/1984",11124,20,26,2092,1768,638,382,11010,20,26,2092,1766,638,380,,,
"09/1984",10718,16,34,2178,1784,578,390,10622,16,34,2178,1784,578,390,,,
"10/1984",10576,14,24,2126,1810,398,342,10494,14,24,2126,1808,398,342,,,
"11/1984",9834,16,30,2036,1888,268,336,9736,16,30,2036,1888,268,336,,,
"12/1984",9984,28,10,2016,1780,360,380,9882,28,10,2016,1780,360,380,,,
"01/1985",8092,14,20,1654,1438,176,330,8026,14,20,1652,1438,176,330,,,
"02/1985",7320,14,24,1552,1334,220,322,7242,14,24,1552,1334,220,322,,,
"03/1985",8614,22,18,1796,1398,374,346,8540,22,18,1796,1398,374,346,,,
"04/1985",9220,14,32,1886,1574,494,338,9154,14,32,1884,1574,494,338,,,
"05/1985",10412,18,26,2020,1762,590,426,10356,18,26,2020,1762,590,426,,,
"06/1985",10958,12,32,2208,1762,622,378,10888,12,32,2208,1762,620,378,,,
"07/1985",10780,16,28,2118,1700,692,390,10694,16,28,2118,1700,692,390,,,
"08/1985",11314,24,38,2172,1892,590,462,11220,24,38,2170,1892,588,462,,,
"09/1985",10068,12,22,2070,1882,488,388,9992,12,22,2068,1878,488,386,,,
"10/1985",10240,14,44,2108,1824,428,422,10150,14,44,2108,1824,428,422,,,
"11/1985",10158,12,28,2076,1864,308,428,10056,12,28,2074,1860,308,428,,,
"12/1985",9366,18,24,1916,1754,238,338,9262,18,24,1916,1754,238,336,,,
"01/1986",8254,8,22,1776,1444,226,368,8170,8,22,1776,1444,226,366,,,
"02/1986",7296,10,20,1544,1306,218,316,7248,10,20,1544,1306,218,316,,,
"03/1986",8990,16,16,1798,1566,356,412,8918,16,16,1798,1564,354,412,,,
"04/1986",9142,28,34,1914,1646,406,384,9078,28,34,1914,1646,406,384,,,
"05/1986",10806,18,42,2090,1900,540,452,10694,18,42,2090,1900,536,452,,,
"06/1986",11232,20,28,2144,1944,602,402,11122,20,28,2144,1944,598,402,,,
"07/1986",11542,24,38,2180,1906,704,448,11458,24,38,2180,1906,704,448,,,
"08/1986",12368,28,20,2426,2050,636,482,12272,28,20,2426,2046,636,480,,,
"09/1986",10596,20,34,2086,1748,488,436,10512,20,34,2086,1746,488,436,,,
"10/1986",10922,20,32,2190,1908,386,500,10842,20,32,2190,1908,386,500,,,
"11/1986",10300,18,34,2106,1786,384,446,10222,18,34,2102,1786,384,446,,,
"12/1986",10136,10,20,2042,1810,314,430,10060,10,20,2042,1810,314,428,,,
"01/1987",8314,20,34,1712,1474,238,352,8236,20,34,1712,1474,238,352,,,
"02/1987",7734,18,20,1624,1420,244,300,7684,18,20,1624,1420,244,300,,,
"03/1987",8892,14,20,1824,1470,338,450,8844,14,20,1824,1470,338,450,,,
"04/1987",9278,24,32,1904,1520,412,416,9214,24,32,1902,1518,412,416,,,
"05/1987",10670,24,40,2024,1774,584,478,10588,24,40,2022,1774,584,478,,,
"06/1987",11024,22,36,2144,1822,574,390,10944,22,36,2144,1822,574,390,,,
"07/1987",11324,14,26,2090,1932,612,510,11252,14,26,2090,1932,612,510,,,
"08/1987",12316,22,42,2456,2168,596,488,12228,22,42,2456,2168,596,486,,,
"09/1987",10970,20,48,2204,1912,514,506,10896,20,48,2204,1912,514,506,,,
"10/1987",11780,34,38,2390,2120,486,514,11690,34,38,2390,2120,484,514,,,
"11/1987",10692,14,46,2268,1988,350,458,10614,14,46,2266,1988,350,458,,,
"12/1987",10678,14,28,2170,1960,338,496,10590,14,28,2168,1960,338,496,,,
"01/1988",8550,22,28,1728,1544,214,386,8470,22,28,1728,1544,214,386,,,
"02/1988",8082,22,34,1664,1378,274,410,8028,22,34,1664,1378,274,410,,,
"03/1988",9260,16,42,1804,1740,348,432,9224,16,42,1804,1740,348,432,,,
"04/1988",9808,26,38,2012,1734,428,420,9772,26,38,2012,1734,428,420,,,
"05/1988",10644,18,38,2022,1928,510,488,10592,18,38,2022,1928,510,488,,,
"06/1988",11136,10,48,2178,1984,542,472,11100,10,48,2178,1984,542,472,,,
"07/1988",11648,12,40,2296,2062,524,494,11574,12,40,2294,2058,524,494,,,
"08/1988",11734,20,52,2318,1950,600,572,11682,20,52,2318,1950,600,572,,,
